"ObservationTime","Temperature_C","Condition","Has_Precipitation","Precipitation_Type"
2025-07-04 20:00:00,27.4,"Cloudy",FALSE,NA
2025-07-04 19:00:00,28.1,"Cloudy",FALSE,NA
2025-07-04 18:00:00,29.1,"Cloudy",FALSE,NA
2025-07-04 17:00:00,29.9,"Cloudy",FALSE,NA
2025-07-04 16:00:00,30.5,"Cloudy",FALSE,NA
2025-07-04 15:00:00,30.9,"Cloudy",FALSE,NA
2025-07-04 14:00:00,31.4,"Cloudy",FALSE,NA
2025-07-04 13:00:00,31.8,"Cloudy",FALSE,NA
2025-07-04 12:00:00,32.5,"Cloudy",FALSE,NA
2025-07-04 11:00:00,31.6,"Cloudy",FALSE,NA
2025-07-04 10:00:00,30.9,"Cloudy",FALSE,NA
2025-07-04 09:00:00,29.9,"Cloudy",FALSE,NA
2025-07-04 08:00:00,28.7,"Cloudy",FALSE,NA
2025-07-04 07:00:00,27.4,"Cloudy",FALSE,NA
2025-07-04 06:00:00,26.3,"Cloudy",FALSE,NA
2025-07-04 05:00:00,25.4,"Cloudy",FALSE,NA
2025-07-04 04:00:00,26.1,"Cloudy",FALSE,NA
2025-07-04 03:00:00,26.2,"Cloudy",FALSE,NA
2025-07-04 02:00:00,25.5,"Cloudy",FALSE,NA
2025-07-04 01:00:00,26.3,"Cloudy",FALSE,NA
2025-07-04,26.5,"Cloudy",FALSE,NA
2025-07-03 23:00:00,26.7,"Cloudy",FALSE,NA
2025-07-03 22:00:00,27,"Cloudy",FALSE,NA
2025-07-03 21:00:00,27.3,"Cloudy",FALSE,NA
